experiment_id,experiment,time_ns
0,baseline,5835592750
0,baseline,5595945125
0,baseline,5595950375
0,baseline,5595944875
0,baseline,5595943875
0,baseline,5595948500
0,baseline,5595946750
0,baseline,5595952625
0,baseline,5595942500
0,baseline,5595952000
1,sync_opt,791387500
1,sync_opt,795991000
1,sync_opt,795990875
1,sync_opt,795993250
1,sync_opt,795978125
1,sync_opt,795990000
1,sync_opt,795991125
1,sync_opt,795989750
1,sync_opt,795989125
1,sync_opt,795986125
2,sync_and_buf_opt,229875
2,sync_and_buf_opt,219000
2,sync_and_buf_opt,220125
2,sync_and_buf_opt,220375
2,sync_and_buf_opt,221500
2,sync_and_buf_opt,218375
2,sync_and_buf_opt,216000
2,sync_and_buf_opt,227375
2,sync_and_buf_opt,225750
2,sync_and_buf_opt,220625
