experiment_id,experiment,time_ns
0,baseline,15424500
0,baseline,15411250
0,baseline,15410625
0,baseline,15423250
0,baseline,15726125
0,baseline,15731375
0,baseline,15740000
0,baseline,15720750
0,baseline,15732625
0,baseline,15728000
1,sync_opt,16455750
1,sync_opt,16487000
1,sync_opt,16468500
1,sync_opt,16498375
1,sync_opt,16460375
1,sync_opt,16479500
1,sync_opt,16489625
1,sync_opt,16457500
1,sync_opt,16380875
1,sync_opt,16393000
2,sync_and_buf_opt,16573500
2,sync_and_buf_opt,16544875
2,sync_and_buf_opt,16594625
2,sync_and_buf_opt,16591250
2,sync_and_buf_opt,16586250
2,sync_and_buf_opt,16572875
2,sync_and_buf_opt,16544750
2,sync_and_buf_opt,16658125
2,sync_and_buf_opt,16553500
2,sync_and_buf_opt,16579375
